_TRI_FORM_R_BR_EZ.FACILITY_NAME,V_TRI_FORM_R_BR_EZ.CHEM_NAME,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2000,330,240,90,0,12,342
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2014,4406,4328,78,0,2094.193,6500.193
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2009,58400,50000,8400,0,0,58400
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2000,1500000,0,1500000,0,0,1500000
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2014,12.5,12.5,0,0,16.54,29.04
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,1998,12500,12500,0,0,0,12500
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2013,1721.3,1721.3,0,0,0,1721.3
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2009,278000,278000,0,0,0,278000
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2011,2315,2225,90,0,20693.927,23008.927
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2002,132161,132161,0,0,0,132161
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2014,49413,40975,8438,0,0,49413
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2020,.4,.4,0,0,.04,.44
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,1995,472,60,412,0,5358,5830
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2004,1881,1581,300,0,0,1881
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2004,14,0,14,0,800,814
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2010,12000000,0,12000000,0,0,12000000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2000,24728,24048,680,0,0,24728
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,1995,65,0,65,0,94,159
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2015,4422,4340,82,0,4939.062,9361.062
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2008,23,23,0,0,.3,23.3
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,1995,4060,250,3810,0,0,4060
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2002,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2020,1936.8,1343.8,0,593,1165,3101.8
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2004,42699,42699,0,0,0,42699
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,1998,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,1999,4240,3600,640,0,0,4240
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),1996,800000,0,800000,0,0,800000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2020,20442.95,19194.75,1248.2,0,0,20442.95
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),1997,131000,131000,0,0,0,131000
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2003,.0013759,.0013759,0,0,0,.0013759
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2014,1847.177,1842.077,5.1,0,.0748,1847.2518
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2011,950.2,833.2,117,0,6960.84,7911.04
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2002,1873,1567,306,0,0,1873
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2001,.0012591,.0012591,0,0,0,.0012591
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2011,8.8,8.8,0,0,1.1,9.9
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2013,15.2,15.2,0,0,0,15.2
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,1999,39,18,21,0,0,39
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2014,23987,23746,241,0,0,23987
US ARMY RADFORD ARMY AMMUNITION PLANT,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2016,76439.3,76439.3,0,0,0,76439.3
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2002,7,7,0,0,0,7
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2018,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Phosphoric acid,1994,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2016,1521.078,1521.078,0,0,10.77075,1531.84875
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2008,135000,135000,0,0,0,135000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2017,20532.5,19971,561.5,0,0,20532.5
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2003,0,0,0,0,125,125
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2007,628,560,68,0,5060,5688
US ARMY RADFORD ARMY AMMUNITION PLANT,Phosphoric acid,1995,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2006,13500000,0,13500000,0,0,13500000
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2008,55.077,.077,55,0,40.23,95.307
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2016,537809,537809,0,0,0,537809
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,1998,345,225,120,0,1358,1703
US ARMY RADFORD ARMY AMMUNITION PLANT,Aluminum (fume or dust),1994,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2001,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),1999,126000,126000,0,0,0,126000
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2009,7,7,0,0,21.706,28.706
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2001,1918,1870,48,0,18,1936
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,1997,180,0,180,0,2453,2633
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2007,24661,24660,1,0,0,24661
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,1995,24600,8700,15900,0,0,24600
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2005,47596,47596,0,0,0,47596
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2013,282212,282212,0,0,0,282212
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2005,9,9,0,0,296,305
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2004,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2004,26171,23632,2539,0,0,26171
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2010,.0004579,.0004579,0,0,0,.0004579
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2003,1077,1056,21,0,4965.1,6042.1
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2011,90615,71722,18893,0,15171.2,105786.2
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2000,.001764,.001764,0,0,0,.001764
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,1997,4606,3724,882,0,0,4606
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,1994,147,0,147,0,0,147
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2007,3800,3200,0,600,0,3800
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2000,148,0,148,0,0,148
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2018,7355650,0,7355650,0,0,7355650
US ARMY RADFORD ARMY AMMUNITION PLANT,Phosphoric acid,1998,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2006,791,710,81,0,5045,5836
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2012,1228,1177,51,0,0,1228
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2007,26,26,0,0,1,27
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2020,.0000245,.0000245,0,0,0,.0000245
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2015,24342,23883,459,0,0,24342
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2013,2.076,.076,2,0,1.3,3.376
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2010,1110,1020,90,0,11450.08,12560.08
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),1999,530000,0,530000,0,0,530000
US ARMY RADFORD ARMY AMMUNITION PLANT,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2011,65338,65338,0,0,0,65338
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2015,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2019,76100,66543,9557,0,0,76100
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2015,1253.076,1253.076,0,0,.102,1253.178
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2009,13,13,0,0,.4,13.4
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2006,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2000,9116,8840,276,0,0,9116
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2011,2.22,2,.22,0,0,2.22
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,1999,25627,24027,1600,0,0,25627
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,1998,28217,24017,4200,0,0,28217
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,1995,40,0,40,0,0,40
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2001,135000,135000,0,0,0,135000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,1997,25591,23533,2058,0,0,25591
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2001,25446,23631,1815,0,0,25446
US ARMY RADFORD ARMY AMMUNITION PLANT,2 4-Dinitrotoluene,2002,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2012,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2004,7,7,0,0,0,7
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2004,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2018,1330,1330,0,0,0,1330
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),2016,11485391,0,11485391,0,0,11485391
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,1998,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2017,4,4,0,0,0,4
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,1997,48,20,28,0,0,48
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitric acid,2009,2500,2100,0,400,2900,5400
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2000,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2013,24885,23718,1167,0,0,24885
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2015,58200,57622,578,0,0,58200
US ARMY RADFORD ARMY AMMUNITION PLANT,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2015,74574,74574,0,0,0,74574
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,2007,15,15,0,0,0,15
US ARMY RADFORD ARMY AMMUNITION PLANT,Chlorine,2010,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Dibutyl phthalate,2011,24,24,0,0,32.4,56.4
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,2008,2700,2650,50,0,8185,10885
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper compounds,2005,1006,940,66,0,4763.7,5769.7
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2004,145188,145188,0,0,0,145188
US ARMY RADFORD ARMY AMMUNITION PLANT,Diphenylamine,1999,0,0,0,0,0,0
US ARMY RADFORD ARMY AMMUNITION PLANT,Nitroglycerin,2007,58000,58000,0,0,0,58000
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,1996,11100,5100,6000,0,0,11100
US ARMY RADFORD ARMY AMMUNITION PLANT,Ammonia,2002,24887,23631,1256,0,0,24887
US ARMY RADFORD ARMY AMMUNITION PLANT,Copper  And Copper Compounds,2019,2381.5,2320,61.5,0,7.92,2389.42
US ARMY RADFORD ARMY AMMUNITION PLANT,Lead compounds,1999,270,200,70,0,569,839
US ARMY RADFORD ARMY AMMUNITION PLANT,Dioxin and dioxin-like compounds,2007,.0016979,.0016979,0,0,0,.0016979
US ARMY RADFORD ARMY AMMUNITION PLANT,Mercury,2015,12.2,12.2,0,0,91.273,103.473
US ARMY RADFORD ARMY AMMUNITION PLANT,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),2007,136000,136000,0,0,0,136000
